,authorB,authorA,time
0,291.0,33.0,1110938992.0
1,3.0,33.0,1110938992.0
2,198.0,33.0,1110938992.0
3,231.0,33.0,1110938992.0
4,207.0,33.0,1110938992.0
5,80.0,33.0,1110938992.0
6,538.0,33.0,1110938992.0
7,507.0,33.0,1110938992.0
8,31.0,33.0,1110938992.0
9,33.0,291.0,1110938992.0
10,3.0,291.0,1110938992.0
11,198.0,291.0,1110938992.0
12,231.0,291.0,1110938992.0
13,207.0,291.0,1110938992.0
14,80.0,291.0,1110938992.0
15,538.0,291.0,1110938992.0
16,507.0,291.0,1110938992.0
17,31.0,291.0,1110938992.0
18,33.0,3.0,1110938992.0
19,291.0,3.0,1110938992.0
20,198.0,3.0,1110938992.0
21,231.0,3.0,1110938992.0
22,207.0,3.0,1110938992.0
23,80.0,3.0,1110938992.0
24,538.0,3.0,1110938992.0
25,507.0,3.0,1110938992.0
26,31.0,3.0,1110938992.0
27,33.0,198.0,1110938992.0
28,291.0,198.0,1110938992.0
29,3.0,198.0,1110938992.0
30,231.0,198.0,1110938992.0
31,207.0,198.0,1110938992.0
32,80.0,198.0,1110938992.0
33,538.0,198.0,1110938992.0
34,507.0,198.0,1110938992.0
35,31.0,198.0,1110938992.0
36,33.0,231.0,1110938992.0
37,291.0,231.0,1110938992.0
38,3.0,231.0,1110938992.0
39,198.0,231.0,1110938992.0
40,207.0,231.0,1110938992.0
41,80.0,231.0,1110938992.0
42,538.0,231.0,1110938992.0
43,507.0,231.0,1110938992.0
44,31.0,231.0,1110938992.0
45,33.0,207.0,1110938992.0
46,291.0,207.0,1110938992.0
47,3.0,207.0,1110938992.0
48,198.0,207.0,1110938992.0
49,231.0,207.0,1110938992.0
50,80.0,207.0,1110938992.0
51,538.0,207.0,1110938992.0
52,507.0,207.0,1110938992.0
53,31.0,207.0,1110938992.0
54,33.0,80.0,1110938992.0
55,291.0,80.0,1110938992.0
56,3.0,80.0,1110938992.0
57,198.0,80.0,1110938992.0
58,231.0,80.0,1110938992.0
59,207.0,80.0,1110938992.0
60,538.0,80.0,1110938992.0
61,507.0,80.0,1110938992.0
62,31.0,80.0,1110938992.0
63,33.0,538.0,1110938992.0
64,291.0,538.0,1110938992.0
65,3.0,538.0,1110938992.0
66,198.0,538.0,1110938992.0
67,231.0,538.0,1110938992.0
68,207.0,538.0,1110938992.0
69,80.0,538.0,1110938992.0
70,507.0,538.0,1110938992.0
71,31.0,538.0,1110938992.0
72,33.0,507.0,1110938992.0
73,291.0,507.0,1110938992.0
74,3.0,507.0,1110938992.0
75,198.0,507.0,1110938992.0
76,231.0,507.0,1110938992.0
77,207.0,507.0,1110938992.0
78,80.0,507.0,1110938992.0
79,538.0,507.0,1110938992.0
80,31.0,507.0,1110938992.0
81,33.0,31.0,1110938992.0
82,291.0,31.0,1110938992.0
83,3.0,31.0,1110938992.0
84,198.0,31.0,1110938992.0
85,231.0,31.0,1110938992.0
86,207.0,31.0,1110938992.0
87,80.0,31.0,1110938992.0
88,538.0,31.0,1110938992.0
89,507.0,31.0,1110938992.0
90,195.0,609.0,1111014057.0
91,166.0,609.0,1111014057.0
92,7.0,609.0,1111014057.0
93,552.0,609.0,1111014057.0
94,40.0,609.0,1111014057.0
95,586.0,609.0,1111014057.0
96,394.0,609.0,1111014057.0
97,77.0,609.0,1111014057.0
98,110.0,609.0,1111014057.0
99,207.0,609.0,1111014057.0
100,111.0,609.0,1111014057.0
101,27.0,609.0,1111014057.0
102,29.0,609.0,1111014057.0
103,606.0,609.0,1111014057.0
104,609.0,195.0,1111014057.0
105,166.0,195.0,1111014057.0
106,7.0,195.0,1111014057.0
107,552.0,195.0,1111014057.0
108,40.0,195.0,1111014057.0
109,586.0,195.0,1111014057.0
110,394.0,195.0,1111014057.0
111,77.0,195.0,1111014057.0
112,110.0,195.0,1111014057.0
113,207.0,195.0,1111014057.0
114,111.0,195.0,1111014057.0
115,27.0,195.0,1111014057.0
116,29.0,195.0,1111014057.0
117,606.0,195.0,1111014057.0
118,609.0,166.0,1111014057.0
119,195.0,166.0,1111014057.0
120,7.0,166.0,1111014057.0
121,552.0,166.0,1111014057.0
122,40.0,166.0,1111014057.0
123,586.0,166.0,1111014057.0
124,394.0,166.0,1111014057.0
125,77.0,166.0,1111014057.0
126,110.0,166.0,1111014057.0
127,207.0,166.0,1111014057.0
128,111.0,166.0,1111014057.0
129,27.0,166.0,1111014057.0
130,29.0,166.0,1111014057.0
131,606.0,166.0,1111014057.0
132,609.0,7.0,1111014057.0
133,195.0,7.0,1111014057.0
